file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250628_131402.csv,21,0.0992090702056884,0.1388301849365234,10,1,10,3.642461001873016,3.542601980983606,3,111,0.0476190476190476,0.0408163265306122,2.761904761904762,59,High,0
gaze_log_20250629_152254.csv,27,0.1440569912945782,0.3607101440429687,16,7,4,3.2500923046698937,3.551217665501309,10,144,0.1111111111111111,0.0699588477366255,3.2962962962962963,36,Low,1
gaze_log_20250627_141033.csv,7,0.0970058100564139,0.1248302459716796,1,2,4,7.009865005811055,5.020353948050206,0,39,0.0,0.0,3.142857142857143,48,Low,0
gaze_log_20250628_153442.csv,4,0.1006649732589721,0.1246998310089111,3,1,0,5.791930039723714,3.894947588085639,0,44,0.0,0.0,3.0,52,Mid,0
gaze_log_20250629_153200.csv,39,0.2500781646141639,0.9998798370361328,38,1,0,1.1104465785779452,2.557384447653948,33,3063,0.1282051282051282,0.019723865877712,3.6666666666666665,60,High,1
gaze_log_20250628_132540.csv,3,0.087916612625122,0.0972700119018554,3,0,0,4.737715005874634,2.431834936141968,0,171,0.0,0.0,5.0,63,High,0
gaze_log_20250629_121154.csv,12,0.1122525731722513,0.2228701114654541,6,2,4,5.784480918537486,3.204816133624521,0,69,0.0,0.0,3.75,71,High,0
gaze_log_20250629_132114.csv,18,0.1233766343858507,0.4581398963928222,3,6,9,4.099924115573659,3.7873081917327256,3,99,0.0,0.0,2.833333333333333,47,Low,0
gaze_log_20250629_130703.csv,33,0.1383451476241603,0.5974001884460449,15,8,10,2.0756765604019165,1.5701599485661186,12,175,0.1212121212121212,0.0771349862258953,3.6666666666666665,53,Mid,1
gaze_log_20250629_181651.csv,3,0.1111965974171956,0.1248197555541992,3,0,0,4.290850043296814,0.2752398252487182,0,11,0.0,0.0,2.0,56,Mid,0
gaze_log_20250629_113333.csv,3,0.1342433293660482,0.2088701725006103,2,0,1,24.03706002235413,22.05042028427124,0,29,0.0,0.0,4.0,73,High,0
gaze_log_20250627_102233.csv,10,0.1887449741363525,0.2915000915527344,2,3,5,5.733546707365248,2.974607362024102,0,67,0.0,0.0,5.1,28,Low,2
gaze_log_20250628_154001.csv,15,0.1313793023427327,0.1944999694824218,8,1,6,5.061854311398098,4.426033503178289,2,161,0.0666666666666666,0.0577777777777777,3.333333333333333,59,High,0
gaze_log_20250629_145438.csv,27,0.1413063296565303,0.2497398853302002,12,8,7,2.3953684660104604,2.94464487570839,11,88,0.037037037037037,0.0219478737997256,2.814814814814815,68,High,1
gaze_log_20250628_140843.csv,9,0.0953777896033393,0.1384801864624023,2,2,5,6.001938730478287,2.95235353240403,0,18,0.0,0.0,3.0,57,Mid,0
gaze_log_20250628_163730.csv,10,0.1109730005264282,0.1529102325439453,5,4,1,5.120721101760864,4.195403813264792,0,64,0.1,0.1,2.8,59,High,0
gaze_log_20250628_162348.csv,5,0.1139760017395019,0.1391701698303222,5,0,0,6.174452543258667,0.9961165081830858,0,33,0.0,0.0,2.0,59,High,0
gaze_log_20250627_105952.csv,11,0.1144490458748557,0.1528599262237548,6,1,4,6.619893002510071,4.603433392925311,0,109,0.1818181818181818,0.1818181818181818,4.0,45,Low,0
gaze_log_20250629_191247.csv,4,0.0970925092697143,0.1388399600982666,2,0,2,16.728203376134235,17.646318047776028,0,63,0.5,0.5,1.75,24,Low,0
gaze_log_20250629_150433.csv,22,0.1846609223972667,0.4025602340698242,4,2,16,3.013409512383597,3.079975160675993,5,70,0.0909090909090909,0.0702479338842975,4.7727272727272725,63,High,2
gaze_log_20250627_172926.csv,31,0.1472938983671126,0.4163801670074463,6,9,16,2.317266337076823,2.210219068272992,8,622,0.064516129032258,0.0478668054110301,2.290322580645161,61,High,1
gaze_log_20250628_112916.csv,43,0.2391158314638359,0.6731102466583252,19,9,15,1.7051373833701724,1.141087651960011,16,127,0.0697674418604651,0.0438074634937804,3.86046511627907,41,Low,1
gaze_log_20250629_141926.csv,3,0.0878799756368001,0.0971899032592773,0,0,3,13.508955121040344,3.130334973335266,0,30,0.0,0.0,3.333333333333333,55,Mid,0
gaze_log_20250629_142208.csv,24,0.1230708062648773,0.3884000778198242,10,7,7,2.896898259287295,3.480656237460781,6,129,0.125,0.09375,3.375,48,Low,1
gaze_log_20250628_154214.csv,16,0.1587587147951126,0.7776298522949219,10,3,3,3.739727322260539,3.1624971803366537,1,196,0.0,0.0,4.625,49,Low,2
gaze_log_20250628_151754.csv,9,0.1233622762891981,0.1940400600433349,4,1,4,8.418920010328293,3.735966471287531,0,238,0.0,0.0,3.2222222222222223,43,Low,0
